accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,image_count
5149659,Lepidoptera,Geometridae,Cyclophora,Cyclophora porata,Cyclophora porata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5149665,Lepidoptera,Geometridae,Cyclophora,Cyclophora punctaria,Cyclophora punctaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5149787,Lepidoptera,Geometridae,Cyclophora,Cyclophora puppillaria,Cyclophora puppillaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5149784,Lepidoptera,Geometridae,Cyclophora,Cyclophora ruficiliaria,Cyclophora ruficiliaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1978821,Lepidoptera,Geometridae,Deileptenia,Deileptenia ribeata,Deileptenia ribeata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1959467,Lepidoptera,Geometridae,Dyscia,Dyscia fagaria,Dyscia fagaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1962516,Lepidoptera,Geometridae,Dysstroma,Dysstroma citrata,Dysstroma citrata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1962434,Lepidoptera,Geometridae,Dysstroma,Dysstroma truncata,Dysstroma truncata,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
8160782,Lepidoptera,Geometridae,Anticlea,Earophila badiata,Anticlea badiata,99,SYNONYM,EXACT,SPECIES,london31May2023,0.0
1978445,Lepidoptera,Geometridae,Ecliptopera,Ecliptopera silaceata,Ecliptopera silaceata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
8421569,Lepidoptera,Geometridae,Ectropis,Ectropis crepuscularia,Ectropis crepuscularia,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1976163,Lepidoptera,Geometridae,Electrophaes,Electrophaes corylata,Electrophaes corylata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1956440,Lepidoptera,Geometridae,Ematurga,Ematurga atomaria,Ematurga atomaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1957845,Lepidoptera,Geometridae,Ennomos,Ennomos alniaria,Ennomos alniaria,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1957854,Lepidoptera,Geometridae,Ennomos,Ennomos autumnaria,Ennomos autumnaria,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4524426,Lepidoptera,Geometridae,Ennomos,Ennomos erosaria,Ennomos erosaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4524421,Lepidoptera,Geometridae,Ennomos,Ennomos fuscantaria,Ennomos fuscantaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4524424,Lepidoptera,Geometridae,Ennomos,Ennomos quercaria,Ennomos quercaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1957852,Lepidoptera,Geometridae,Ennomos,Ennomos quercinaria,Ennomos quercinaria,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1957870,Lepidoptera,Geometridae,Ennomos,Ennomos subsignaria,Ennomos subsignaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5149499,Lepidoptera,Geometridae,Entephria,Entephria caesiata,Entephria caesiata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
7769543,Lepidoptera,Geometridae,Entephria,Entephria flavicinctata,Entephria flavicinctata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1975546,Lepidoptera,Geometridae,Epione,Epione repandaria,Epione repandaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1975553,Lepidoptera,Geometridae,Epione,Epione vespertaria,Epione vespertaria,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
8361848,Lepidoptera,Geometridae,Epirrhoe,Epirrhoe alternata,Epirrhoe alternata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1964637,Lepidoptera,Geometridae,Epirrhoe,Epirrhoe galiata,Epirrhoe galiata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1964657,Lepidoptera,Geometridae,Epirrhoe,Epirrhoe rivata,Epirrhoe rivata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1964653,Lepidoptera,Geometridae,Epirrhoe,Epirrhoe tristata,Epirrhoe tristata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4523560,Lepidoptera,Geometridae,Epirrita,Epirrita autumnata,Epirrita autumnata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4523556,Lepidoptera,Geometridae,Epirrita,Epirrita christyi,Epirrita christyi,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4523564,Lepidoptera,Geometridae,Epirrita,Epirrita dilutata,Epirrita dilutata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4523558,Lepidoptera,Geometridae,Epirrita,Epirrita filigrammaria,Epirrita filigrammaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1956599,Lepidoptera,Geometridae,Erannis,Erannis defoliaria,Erannis defoliaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1988881,Lepidoptera,Geometridae,Euchoeca,Euchoeca nebulata,Euchoeca nebulata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1965777,Lepidoptera,Geometridae,Eulithis,Eulithis mellinata,Eulithis mellinata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1965795,Lepidoptera,Geometridae,Eulithis,Eulithis populata,Eulithis populata,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1965825,Lepidoptera,Geometridae,Eulithis,Eulithis prunata,Eulithis prunata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1965763,Lepidoptera,Geometridae,Eulithis,Eulithis testata,Eulithis testata,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1965208,Lepidoptera,Geometridae,Euphyia,Euphyia biangulata,Euphyia biangulata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1965166,Lepidoptera,Geometridae,Euphyia,Euphyia unangulata,Euphyia unangulata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1984117,Lepidoptera,Geometridae,Eupithecia,Eupithecia abbreviata,Eupithecia abbreviata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1983997,Lepidoptera,Geometridae,Eupithecia,Eupithecia abietaria,Eupithecia abietaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1983896,Lepidoptera,Geometridae,Eupithecia,Eupithecia absinthiata,Eupithecia absinthiata,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1982746,Lepidoptera,Geometridae,Eupithecia,Eupithecia assimilata,Eupithecia assimilata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1984033,Lepidoptera,Geometridae,Eupithecia,Eupithecia breviculata,Eupithecia breviculata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
