"family_taxon","taxon","preferred_authority","common_name","name_tvk","rtvk","organism_key"
"Geometridae","Archiearis parthenias","(Linnaeus, 1761)","Orange Underwing","NBNSYS0000005734","NBNSYS0000005734","NBNORG0000009062"
"Geometridae","Aspitates gilvaria","([Denis & Schiffermüller], 1775)","Straw Belle","NHMSYS0000517298","NHMSYS0000517298","NBNORG0000059511"
"Geometridae","Aspitates ochrearia","(Rossi, 1794)","Yellow Belle","NBNSYS0000006060","NBNSYS0000006060","NBNORG0000009257"
"Geometridae","Asthena albulata","(Hufnagel, 1767)","Small White Wave","NBNSYS0000005966","NBNSYS0000005966","NBNORG0000009204"
"Geometridae","Biston betularia","(Linnaeus, 1758)","Peppered Moth","NBNSYS0000006022","NBNSYS0000006022","NBNORG0000009236"
"Geometridae","Biston strataria","(Hufnagel, 1767)","Oak Beauty","NBNSYS0000006021","NBNSYS0000006021","NBNORG0000009235"
"Geometridae","Bupalus piniaria","(Linnaeus, 1758)","Bordered White","NBNSYS0000006046","NBNSYS0000006046","NBNORG0000009249"
"Geometridae","Cabera exanthemata","(Scopoli, 1763)","Common Wave","NBNSYS0000006048","NBNSYS0000006048","NBNORG0000009251"
"Geometridae","Cabera pusaria","(Linnaeus, 1758)","Common White Wave","NBNSYS0000006047","NBNSYS0000006047","NBNORG0000009250"
"Geometridae","Campaea margaritaria","(Linnaeus, 1761)","Light Emerald","NHMSYS0021144278","NHMSYS0021144278","NBNORG0000009254"
"Geometridae","Camptogramma bilineata","(Linnaeus, 1758)","Yellow Shell","NHMSYS0000517593","NHMSYS0000517593","NBNORG0000059569"
"Geometridae","Carsia sororiata","(Hübner, [1813])","Manchester Treble-bar","NHMSYS0000517633","NHMSYS0000517633","NBNORG0000059576"
"Geometridae","Catarhoe cuculata","(Hufnagel, 1767)","Royal Mantle","NBNSYS0000005814","NBNSYS0000005814","NBNORG0000009117"
"Geometridae","Catarhoe rubidata","([Denis & Schiffermüller], 1775)","Ruddy Carpet","NHMSYS0021143929","NHMSYS0021143929","NBNORG0000057659"
"Geometridae","Cepphis advenaria","(Hübner, 1790)","Little Thorn","NHMSYS0000501714","NHMSYS0000501714","NBNORG0000057689"
"Geometridae","Charissa obscurata","([Denis & Schiffermüller], 1775)","Annulet","NHMSYS0021144290","NHMSYS0021144290","NBNORG0000057695"
"Geometridae","Chesias legatella","([Denis & Schiffermüller], 1775)","Streak","NHMSYS0021144143","NHMSYS0021144143","NBNORG0000057698"
"Geometridae","Chesias rufata","(Fabricius, 1775)","Broom-tip","NBNSYS0000005954","NBNSYS0000005954","NBNORG0000009196"
"Geometridae","Chiasmia aestimaria","(Hübner, [1809])","Tamarisk Peacock","NHMSYS0021144173","NHMSYS0021144173","NBNORG0000086950"
"Geometridae","Chiasmia clathrata","(Linnaeus, 1758)","Latticed Heath","NBNSYS0100002337","NBNSYS0100002337","NBNORG0000041470"
"Geometridae","Chlorissa cloraria","(Hübner, [1813])","Southern Grass Emerald","NHMSYS0021144334","NHMSYS0021144334","NBNORG0000108233"
"Geometridae","Chlorissa viridata","(Linnaeus, 1758)","Small Grass Emerald","NBNSYS0000005743","NBNSYS0000005743","NBNORG0000009067"
"Geometridae","Chlorochlamys chloroleucaria","(Guenée, 1857)","Blackberry Looper","NHMSYS0000501760","NHMSYS0000501760","NBNORG0000057706"
"Geometridae","Chloroclysta miata","(Linnaeus, 1758)","Autumn Green Carpet","NBNSYS0000005841","NBNSYS0000005841","NBNORG0000009133"
"Geometridae","Chloroclysta siterata","(Hufnagel, 1767)","Red-green Carpet","NBNSYS0000005840","NBNSYS0000005840","NBNORG0000009132"
"Geometridae","Chloroclystis v-ata","(Haworth, 1809)","V-pug","NBNSYS0000005946","NBNSYS0000005946","NBNORG0000009192"
"Geometridae","Cidaria fulvata","(Forster, 1771)","Barred Yellow","NBNSYS0000005845","NBNSYS0000005845","NBNORG0000009137"
"Geometridae","Cleora cinctaria","([Denis & Schiffermüller], 1775)","Ringed Carpet","NHMSYS0000519018","NHMSYS0000519018","NBNORG0000059627"
